Source File,Refactoring Type,Model,Accuracy,TN,TP
MEA,Extract Method,LogisticRegression,0.5,0.0,100.0
MEA,Extract Method,RandomForest,0.551,51.5,58.75
MEA,Extract Method,SVM,0.5,0.0,100.0
MEA,Extract Superclass,LogisticRegression,0.5,100.0,0.0
MEA,Extract Superclass,RandomForest,0.495,99.25,0.0
MEA,Extract Superclass,SVM,0.5,100.0,0.0
MEA,Inline Method,LogisticRegression,0.5,100.0,0.0
MEA,Inline Method,RandomForest,0.5,100.0,0.0
MEA,Inline Method,SVM,0.5,100.0,0.0
MEA,Move Attribute,LogisticRegression,0.5,100.0,0.0
MEA,Move Attribute,RandomForest,0.489,97.75,0.0
MEA,Move Attribute,SVM,0.5,100.0,0.0
MEA,Move Class,LogisticRegression,0.5,100.0,0.0
MEA,Move Class,RandomForest,0.51,99.0,3.0
MEA,Move Class,SVM,0.5,100.0,0.0
MEA,Move Method,LogisticRegression,0.5,100.0,0.0
MEA,Move Method,RandomForest,0.56,92.25,19.5
MEA,Move Method,SVM,0.5,100.0,0.0
MEA,Pull Up Method,LogisticRegression,0.5,100.0,0.0
MEA,Pull Up Method,RandomForest,0.492,98.5,0.0
MEA,Pull Up Method,SVM,0.5,100.0,0.0
MEA,Rename Package,LogisticRegression,0.5,100.0,0.0
MEA,Rename Package,RandomForest,0.5,100.0,0.0
MEA,Rename Package,SVM,0.5,100.0,0.0
MEA_single,Extract Method,LogisticRegression,0.5,0.0,100.0
MEA_single,Extract Method,RandomForest,0.475,39.75,55.25
MEA_single,Extract Method,SVM,0.5,0.0,100.0
MEA_single,Inline Method,LogisticRegression,0.5,100.0,0.0
MEA_single,Inline Method,RandomForest,0.489,98.0,0.0
MEA_single,Inline Method,SVM,0.5,100.0,0.0
MEA_single,Move Attribute,LogisticRegression,0.5,100.0,0.0
MEA_single,Move Attribute,RandomForest,0.488,97.5,0.0
MEA_single,Move Attribute,SVM,0.5,100.0,0.0
MEA_single,Move Class,LogisticRegression,0.5,100.0,0.0
MEA_single,Move Class,RandomForest,0.496,99.25,0.0
MEA_single,Move Class,SVM,0.5,100.0,0.0
MEA_split,Extract Method,LogisticRegression,0.5,0.0,100.0
MEA_split,Extract Method,RandomForest,0.505,29.0,72.25
MEA_split,Extract Method,SVM,0.5,0.0,100.0
MEA_split,Extract Superclass,LogisticRegression,0.5,100.0,0.0
MEA_split,Extract Superclass,RandomForest,0.519,58.0,45.75
MEA_split,Extract Superclass,SVM,0.5,100.0,0.0
MEA_split,Inline Method,LogisticRegression,0.5,100.0,0.0
MEA_split,Inline Method,RandomForest,0.476,72.75,23.0
MEA_split,Inline Method,SVM,0.5,100.0,0.0
MEA_split,Move Attribute,LogisticRegression,0.5,100.0,0.0
MEA_split,Move Attribute,RandomForest,0.613,83.5,39.0
MEA_split,Move Attribute,SVM,0.5,100.0,0.0
MEA_split,Move Class,LogisticRegression,0.5,100.0,0.0
MEA_split,Move Class,RandomForest,0.629,70.5,55.5
MEA_split,Move Class,SVM,0.5,100.0,0.0
MEA_split,Move Method,LogisticRegression,0.5,100.0,0.0
MEA_split,Move Method,RandomForest,0.433,86.5,0.0
MEA_split,Move Method,SVM,0.5,100.0,0.0
MEA_split,Pull Up Method,LogisticRegression,0.5,100.0,0.0
MEA_split,Pull Up Method,RandomForest,0.552,85.75,25.0
MEA_split,Pull Up Method,SVM,0.5,100.0,0.0
MEA_split,Rename Package,LogisticRegression,0.5,100.0,0.0
MEA_split,Rename Package,RandomForest,0.544,96.25,12.5
MEA_split,Rename Package,SVM,0.5,100.0,0.0
MEA_split_single,Extract Method,LogisticRegression,0.5,0.0,100.0
MEA_split_single,Extract Method,RandomForest,0.461,21.0,71.25
MEA_split_single,Extract Method,SVM,0.5,0.0,100.0
MEA_split_single,Inline Method,LogisticRegression,0.5,100.0,0.0
MEA_split_single,Inline Method,RandomForest,0.403,76.5,4.25
MEA_split_single,Inline Method,SVM,0.5,100.0,0.0
MEA_split_single,Move Attribute,LogisticRegression,0.5,100.0,0.0
MEA_split_single,Move Attribute,RandomForest,0.467,76.5,16.5
MEA_split_single,Move Attribute,SVM,0.5,100.0,0.0
MEA_split_single,Move Class,LogisticRegression,0.5,100.0,0.0
MEA_split_single,Move Class,RandomForest,0.537,83.75,23.5
MEA_split_single,Move Class,SVM,0.5,100.0,0.0
count,Extract Method,LogisticRegression,0.535,19.5,87.5
count,Extract Method,RandomForest,0.663,45.25,87.25
count,Extract Method,SVM,0.53,9.0,97.0
count,Extract Superclass,LogisticRegression,0.48,96.0,0.0
count,Extract Superclass,RandomForest,0.5,100.0,0.0
count,Extract Superclass,SVM,0.5,100.0,0.0
count,Inline Method,LogisticRegression,0.58,95.5,20.5
count,Inline Method,RandomForest,0.516,100.0,3.0
count,Inline Method,SVM,0.496,99.25,0.0
count,Move Attribute,LogisticRegression,0.569,98.5,15.5
count,Move Attribute,RandomForest,0.5,100.0,0.0
count,Move Attribute,SVM,0.5,100.0,0.0
count,Move Class,LogisticRegression,0.61,96.75,25.25
count,Move Class,RandomForest,0.49,96.5,1.75
count,Move Class,SVM,0.534,98.75,8.0
count,Move Method,LogisticRegression,0.504,95.75,5.0
count,Move Method,RandomForest,0.576,95.5,19.5
count,Move Method,SVM,0.482,96.25,0.0
count,Pull Up Method,LogisticRegression,0.5,100.0,0.0
count,Pull Up Method,RandomForest,0.493,98.75,0.0
count,Pull Up Method,SVM,0.5,100.0,0.0
count,Rename Package,LogisticRegression,0.788,99.5,58.25
count,Rename Package,RandomForest,0.688,100.0,37.5
count,Rename Package,SVM,0.743,98.5,50.0
count_single,Extract Method,LogisticRegression,0.549,23.0,86.75
count_single,Extract Method,RandomForest,0.711,56.25,86.0
count_single,Extract Method,SVM,0.559,26.75,85.0
count_single,Inline Method,LogisticRegression,0.506,93.5,7.75
count_single,Inline Method,RandomForest,0.5,100.0,0.0
