Refactoring Type,Source File,Model,Split,Pos Train,Neg Train,Accuracy,TN,TP,FN,FP,Model Params,Approach,Type Split,Type File
Inline Method,ratio,RandomForest,0.2,13,132,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Inline Method,ratio,SVM,0.2,13,132,0.5,100,0,100,0,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,False,False
Inline Method,ratio,LogisticRegression,0.2,13,132,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Inline Method,ratio,RandomForest,0.3,11,116,0.59,98,20,80,2,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",ratio,False,False
Inline Method,ratio,SVM,0.3,11,116,0.58,96,20,80,4,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,False,False
Inline Method,ratio,LogisticRegression,0.3,11,116,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Inline Method,ratio,RandomForest,0.4,10,99,0.568407960199005,97,17,83,3,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",ratio,False,False
Inline Method,ratio,SVM,0.4,10,99,0.5460199004975125,93,17,83,7,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,False,False
Inline Method,ratio,LogisticRegression,0.4,10,99,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Inline Method,ratio,RandomForest,0.5,8,83,0.526355421686747,93,12,88,7,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",ratio,False,False
Inline Method,ratio,SVM,0.5,8,83,0.588855421686747,93,25,75,7,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,False,False
Inline Method,ratio,LogisticRegression,0.5,8,83,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Extract Method,ratio,RandomForest,0.2,85,60,0.6303030303030304,53,73,27,47,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Extract Method,ratio,SVM,0.2,85,60,0.6742424242424242,67,68,32,33,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,False,False
Extract Method,ratio,LogisticRegression,0.2,85,60,0.6772727272727272,40,95,5,60,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,False,False
Extract Method,ratio,RandomForest,0.3,75,52,0.6175271739130435,39,84,16,61,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",ratio,False,False
Extract Method,ratio,SVM,0.3,75,52,0.6209239130434783,30,94,6,70,"[""{'C': 10, 'kernel': 'linear'}""]",ratio,False,False
Extract Method,ratio,LogisticRegression,0.3,75,52,0.6270380434782609,35,91,9,65,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,False,False
Extract Method,ratio,RandomForest,0.4,64,45,0.6170542635658915,47,77,23,53,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",ratio,False,False
Extract Method,ratio,SVM,0.4,64,45,0.672093023255814,60,74,26,40,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,False,False
Extract Method,ratio,LogisticRegression,0.4,64,45,0.601937984496124,37,84,16,63,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,False,False
Extract Method,ratio,RandomForest,0.5,53,38,0.6236236236236237,43,81,19,57,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",ratio,False,False
Extract Method,ratio,SVM,0.5,53,38,0.5915915915915916,41,78,22,59,"[""{'C': 1, 'kernel': 'rbf'}""]",ratio,False,False
Extract Method,ratio,LogisticRegression,0.5,53,38,0.5695695695695695,32,81,19,68,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,False,False
Move Class,ratio,RandomForest,0.2,22,123,0.484375,97,0,100,3,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",ratio,False,False
Move Class,ratio,SVM,0.2,22,123,0.584375,97,20,80,3,"[""{'C': 1, 'kernel': 'rbf'}""]",ratio,False,False
Move Class,ratio,LogisticRegression,0.2,22,123,0.484375,97,0,100,3,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,False,False
Move Class,ratio,RandomForest,0.3,19,108,0.48936170212765956,98,0,100,2,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Move Class,ratio,SVM,0.3,19,108,0.4787234042553192,96,0,100,4,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,False,False
Move Class,ratio,LogisticRegression,0.3,19,108,0.5,100,0,100,0,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,False,False
Move Class,ratio,RandomForest,0.4,16,93,0.5373900293255132,98,9,91,2,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",ratio,False,False
Move Class,ratio,SVM,0.4,16,93,0.5828445747800587,98,18,82,2,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,False,False
Move Class,ratio,LogisticRegression,0.4,16,93,0.5,100,0,100,0,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,False,False
Move Class,ratio,RandomForest,0.5,13,78,0.5876623376623377,96,21,79,4,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",ratio,False,False
Move Class,ratio,SVM,0.5,13,78,0.5227272727272727,97,7,93,3,"[""{'C': 1, 'kernel': 'rbf'}""]",ratio,False,False
Move Class,ratio,LogisticRegression,0.5,13,78,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Rename Package,ratio,RandomForest,0.2,6,139,1.0,100,100,0,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",ratio,False,False
Rename Package,ratio,SVM,0.2,6,139,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Rename Package,ratio,LogisticRegression,0.2,6,139,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Rename Package,ratio,RandomForest,0.3,5,122,0.75,100,50,50,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Rename Package,ratio,SVM,0.3,5,122,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Rename Package,ratio,LogisticRegression,0.3,5,122,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Rename Package,ratio,RandomForest,0.4,4,105,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",ratio,False,False
Rename Package,ratio,SVM,0.4,4,105,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Rename Package,ratio,LogisticRegression,0.4,4,105,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Rename Package,ratio,RandomForest,0.5,3,88,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",ratio,False,False
Rename Package,ratio,SVM,0.5,3,88,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Rename Package,ratio,LogisticRegression,0.5,3,88,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Pull Up Method,ratio,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Pull Up Method,ratio,SVM,0.2,6,139,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Pull Up Method,ratio,LogisticRegression,0.2,6,139,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Pull Up Method,ratio,RandomForest,0.3,6,121,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Pull Up Method,ratio,SVM,0.3,6,121,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Pull Up Method,ratio,LogisticRegression,0.3,6,121,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Pull Up Method,ratio,RandomForest,0.4,5,104,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Pull Up Method,ratio,SVM,0.4,5,104,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Pull Up Method,ratio,LogisticRegression,0.4,5,104,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Pull Up Method,ratio,RandomForest,0.5,4,87,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Pull Up Method,ratio,SVM,0.5,4,87,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Pull Up Method,ratio,LogisticRegression,0.5,4,87,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Move Attribute,ratio,RandomForest,0.2,10,135,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Move Attribute,ratio,SVM,0.2,10,135,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Move Attribute,ratio,LogisticRegression,0.2,10,135,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Move Attribute,ratio,RandomForest,0.3,8,119,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Move Attribute,ratio,SVM,0.3,8,119,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Move Attribute,ratio,LogisticRegression,0.3,8,119,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Move Attribute,ratio,RandomForest,0.4,7,102,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",ratio,False,False
Move Attribute,ratio,SVM,0.4,7,102,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Move Attribute,ratio,LogisticRegression,0.4,7,102,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Move Attribute,ratio,RandomForest,0.5,6,85,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",ratio,False,False
Move Attribute,ratio,SVM,0.5,6,85,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Move Attribute,ratio,LogisticRegression,0.5,6,85,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Move Method,ratio,RandomForest,0.2,8,137,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",ratio,False,False
Move Method,ratio,SVM,0.2,8,137,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Move Method,ratio,LogisticRegression,0.2,8,137,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Move Method,ratio,RandomForest,0.3,7,120,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Move Method,ratio,SVM,0.3,7,120,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Move Method,ratio,LogisticRegression,0.3,7,120,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Move Method,ratio,RandomForest,0.4,6,103,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Move Method,ratio,SVM,0.4,6,103,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Move Method,ratio,LogisticRegression,0.4,6,103,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Move Method,ratio,RandomForest,0.5,5,86,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Move Method,ratio,SVM,0.5,5,86,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Move Method,ratio,LogisticRegression,0.5,5,86,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Extract Superclass,ratio,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",ratio,False,False
Extract Superclass,ratio,SVM,0.2,6,139,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Extract Superclass,ratio,LogisticRegression,0.2,6,139,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Extract Superclass,ratio,RandomForest,0.3,6,121,0.49056603773584906,98,0,100,2,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",ratio,False,False
Extract Superclass,ratio,SVM,0.3,6,121,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Extract Superclass,ratio,LogisticRegression,0.3,6,121,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Extract Superclass,ratio,RandomForest,0.4,5,104,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Extract Superclass,ratio,SVM,0.4,5,104,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Extract Superclass,ratio,LogisticRegression,0.4,5,104,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Extract Superclass,ratio,RandomForest,0.5,4,87,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,False
Extract Superclass,ratio,SVM,0.5,4,87,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,False
Extract Superclass,ratio,LogisticRegression,0.5,4,87,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,False
Inline Method,ratio_single,RandomForest,0.2,11,117,0.46551724137931033,93,0,100,7,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",ratio,False,True
Inline Method,ratio_single,SVM,0.2,11,117,0.6666666666666666,100,33,67,0,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,False,True
Inline Method,ratio_single,LogisticRegression,0.2,11,117,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,True
Inline Method,ratio_single,RandomForest,0.3,10,102,0.6022727272727273,95,25,75,5,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,True
Inline Method,ratio_single,SVM,0.3,10,102,0.625,100,25,75,0,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,False,True
Inline Method,ratio_single,LogisticRegression,0.3,10,102,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,True
Inline Method,ratio_single,RandomForest,0.4,8,88,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,True
Inline Method,ratio_single,SVM,0.4,8,88,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,True
Inline Method,ratio_single,LogisticRegression,0.4,8,88,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,True
Inline Method,ratio_single,RandomForest,0.5,7,73,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,True
Inline Method,ratio_single,SVM,0.5,7,73,0.6291585127201565,97,29,71,3,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,False,True
Inline Method,ratio_single,LogisticRegression,0.5,7,73,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,True
Extract Method,ratio_single,RandomForest,0.2,78,50,0.6666666666666667,58,75,25,42,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",ratio,False,True
Extract Method,ratio_single,SVM,0.2,78,50,0.7166666666666667,58,85,15,42,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,False,True
Extract Method,ratio_single,LogisticRegression,0.2,78,50,0.7,50,90,10,50,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,False,True
Extract Method,ratio_single,RandomForest,0.3,69,43,0.720508166969147,58,86,14,42,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",ratio,False,True
Extract Method,ratio_single,SVM,0.3,69,43,0.7822141560798548,74,83,17,26,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,False,True
Extract Method,ratio_single,LogisticRegression,0.3,69,43,0.7459165154264973,53,97,3,47,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,False,True
Extract Method,ratio_single,RandomForest,0.4,59,37,0.7302564102564102,64,82,18,36,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",ratio,False,True
Extract Method,ratio_single,SVM,0.4,59,37,0.6671794871794872,36,97,3,64,"[""{'C': 10, 'kernel': 'linear'}""]",ratio,False,True
Extract Method,ratio_single,LogisticRegression,0.4,59,37,0.6743589743589744,40,95,5,60,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,False,True
Extract Method,ratio_single,RandomForest,0.5,49,31,0.6764318630678078,52,84,16,48,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",ratio,False,True
Extract Method,ratio_single,SVM,0.5,49,31,0.7188940092165899,58,86,14,42,"[""{'C': 10, 'kernel': 'rbf'}""]",ratio,False,True
Extract Method,ratio_single,LogisticRegression,0.5,49,31,0.662936142198815,39,94,6,61,"[""{'C': 10, 'max"", ""iter': 100}""]",ratio,False,True
Move Class,ratio_single,RandomForest,0.2,14,114,0.4642857142857143,93,0,100,7,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",ratio,False,True
Move Class,ratio_single,SVM,0.2,14,114,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",ratio,False,True
Move Class,ratio_single,LogisticRegression,0.2,14,114,0.5,100,0,100,0,"[""{'C': 0.1, 'max"", ""iter': 100}""]",ratio,False,True
Move Class,ratio_single,RandomForest,0.3,13,99,0.45348837209302323,91,0,100,9,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",ratio,False,True
Move Class,ratio_single,SVM,0.3,13,99,0.5534883720930233,91,20,80,9,"[""{'C': 1, 'kernel': 'rbf'}""]",ratio,False,True
